arm,workload,cache_state,entities,source_sha256,source_bytes,sidecar_bytes,first_scan_us,first_sidecar_encode_us,repetition,source_revalidation_us,sidecar_decode_us,total_validated_reuse_us,full_a1_us,process_state,arm_order,setup_pid,a1_pid,reuse_pid,a1_process_wall_us,reuse_process_wall_us,sidecar_read_us,full_sidecar_open_us
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,21973,5043,18,21675,11435,33111,14610,fresh_exec_per_arm,a1_then_reuse,60938,60975,60976,19570,37128,199,33311
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,21973,5043,19,21039,11194,32234,14325,fresh_exec_per_arm,reuse_then_a1,60938,60978,60977,18592,36415,400,32634
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,21973,5043,20,20404,11212,31617,14839,fresh_exec_per_arm,a1_then_reuse,60938,60979,60980,18643,35582,215,31832
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,21973,5043,21,22444,11913,34358,14446,fresh_exec_per_arm,reuse_then_a1,60938,60982,60981,18271,38591,268,34627
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,21973,5043,22,21003,10833,31837,14233,fresh_exec_per_arm,a1_then_reuse,60938,60983,60984,18108,35677,237,32075
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,21973,5043,23,23624,11343,34968,14304,fresh_exec_per_arm,reuse_then_a1,60938,60986,60985,18356,39421,204,35172
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,21973,5043,24,20610,11204,31815,13996,fresh_exec_per_arm,a1_then_reuse,60938,60987,60988,17785,35672,172,31988
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,21973,5043,25,20317,11950,32267,14574,fresh_exec_per_arm,reuse_then_a1,60938,60990,60989,18631,36089,200,32467
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,21973,5043,26,21934,12697,34632,14409,fresh_exec_per_arm,a1_then_reuse,60938,60991,60992,18119,40715,188,34821
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,21973,5043,27,20640,11501,32141,14891,fresh_exec_per_arm,reuse_then_a1,60938,60994,60993,19062,36353,230,32371
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,21973,5043,28,21280,12253,33670,16553,fresh_exec_per_arm,a1_then_reuse,60938,60995,60996,20978,37924,195,33866
E1-dirty-sidecar,mixed_smoke,os_cache_warm,1000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,1176922,21973,5043,29,20898,10930,31829,15140,fresh_exec_per_arm,reuse_then_a1,60938,60998,60997,18998,36009,252,32081
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,0,89458,48924,138383,58047,fresh_exec_per_arm,a1_then_reuse,60999,61000,61001,64622,146772,750,139133
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,1,81467,47620,129087,57825,fresh_exec_per_arm,reuse_then_a1,60999,61003,61002,64703,137619,722,129810
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,2,84038,46797,130836,56602,fresh_exec_per_arm,a1_then_reuse,60999,61004,61005,63053,139508,751,131587
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,3,86362,58997,145359,56004,fresh_exec_per_arm,reuse_then_a1,60999,61007,61006,64262,153562,717,146076
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,4,83383,47762,131146,56020,fresh_exec_per_arm,a1_then_reuse,60999,61008,61009,63332,139916,663,131809
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,5,85362,48426,133788,56625,fresh_exec_per_arm,reuse_then_a1,60999,61011,61010,65341,142123,704,134493
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,6,89064,48624,137689,58624,fresh_exec_per_arm,a1_then_reuse,60999,61012,61013,65463,147275,708,138397
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,7,83340,48274,131615,56798,fresh_exec_per_arm,reuse_then_a1,60999,61015,61014,63744,142271,757,132373
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,8,96639,58692,155332,58486,fresh_exec_per_arm,a1_then_reuse,60999,61016,61017,66510,165474,640,155972
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,9,103840,55064,158906,66766,fresh_exec_per_arm,reuse_then_a1,60999,61019,61018,74203,169226,778,159685
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,10,126121,66796,192918,67201,fresh_exec_per_arm,a1_then_reuse,60999,61020,61021,75647,203430,734,193652
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,11,109765,58109,167875,60465,fresh_exec_per_arm,reuse_then_a1,60999,61023,61022,68570,180052,744,168620
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,12,123063,57830,180894,65694,fresh_exec_per_arm,a1_then_reuse,60999,61024,61025,73251,190736,758,181653
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,13,107268,54348,161617,67974,fresh_exec_per_arm,reuse_then_a1,60999,61027,61026,74823,170720,747,162365
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,14,102554,59209,161765,63276,fresh_exec_per_arm,a1_then_reuse,60999,61028,61029,72329,178997,828,162594
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,15,90696,55400,146097,61031,fresh_exec_per_arm,reuse_then_a1,60999,61031,61030,70777,157427,844,146942
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,16,86687,61324,148011,68561,fresh_exec_per_arm,a1_then_reuse,60999,61032,61033,76210,156096,656,148668
