arm,workload,cache_state,entities,fields,source_sha256,source_bytes,physical_read_bytes,nesting_scan_bytes,json_parser_deserializer_bytes,canonical_render_bytes,entity_records,formula_ast_nodes,reference_edges,formula_dependency_edges,repetition,order,source_known_us,first_source_preview_us,semantic_current_us
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,12,A0-first,,,26873
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,12,A0-first,39,140,14021
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,13,A1-first,40,140,13596
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,13,A1-first,,,27121
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,14,A0-first,,,27018
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,14,A0-first,69,192,15473
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,15,A1-first,77,304,14969
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,15,A1-first,,,27126
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,16,A0-first,,,26973
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,16,A0-first,66,184,14675
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,17,A1-first,46,155,14381
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,17,A1-first,,,27172
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,18,A0-first,,,26961
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,18,A0-first,80,203,13735
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,19,A1-first,51,154,14664
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,19,A1-first,,,29339
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,20,A0-first,,,30811
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,20,A0-first,147,350,15823
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,21,A1-first,61,177,13678
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,21,A1-first,,,27550
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,22,A0-first,,,26501
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,22,A0-first,43,144,14130
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,23,A1-first,42,143,13734
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,23,A1-first,,,27190
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,24,A0-first,,,26438
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,24,A0-first,54,165,14356
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,25,A1-first,107,262,13872
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,25,A1-first,,,27041
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,26,A0-first,,,27238
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,26,A0-first,154,318,14173
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,27,A1-first,48,154,14862
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,27,A1-first,,,27202
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,28,A0-first,,,27357
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,28,A0-first,98,227,14308
A1,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,600429,1801287,601429,1000,3000,1000,1000,29,A1-first,63,185,13694
A0,mixed_smoke_host,os_cache_warm,1000,5000,abe17b795344c2f0920f176dd301ae024693fe326f55b6b32bafb7e50cff44e6,601429,601429,1200858,3602574,601429,1000,3000,1000,1000,29,A1-first,,,26398
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,0,A0-first,,,111447
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,0,A0-first,98,247,56400
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,1,A1-first,124,293,56344
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,1,A1-first,,,109175
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,2,A0-first,,,111971
